LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
160000,2,3,2,26,0,0,2,0,0,0,19542,24035,17561,17094,4353,4906,10000,0,17098,4353,2500,0,0
240000,1,2,1,47,0,0,0,0,0,0,205495,236484,243567,44351,193283,21682,34700,11005,8006,202000,8505,377000,0
240000,2,1,2,28,0,0,0,0,0,0,168068,168685,94520,14422,12552,20550,6042,3558,1000,600,10550,9000,0
260000,2,3,3,55,0,0,0,0,0,0,185441,190942,194161,197287,172561,165409,10000,8000,7150,7057,7396,4060,0
330000,1,1,1,46,0,0,0,0,0,0,7401,4567,6242,24353,20219,23163,4567,6443,24353,10219,13163,5909,0
470000,1,2,2,33,0,0,0,0,0,0,190258,181207,120318,129281,113437,164377,40012,10020,40069,25005,100000,51305,0
230000,2,3,1,32,0,0,0,0,0,0,8756,930,8400,1900,0,9198,930,8485,1900,0,9198,0,0
200000,2,1,1,42,0,0,2,0,0,0,796,770,770,5259,1329,3609,770,0,5269,1329,2280,0,0
200000,2,1,1,35,0,0,2,0,0,0,316,734,418,424,424,424,734,0,424,424,424,608,0
430000,1,3,2,47,1,0,0,0,0,0,-18,6390,8833,9906,14239,9562,6408,8840,9954,14285,9584,26023,0
230000,2,2,2,26,0,0,0,0,0,0,18612,90523,86813,35695,5555,15165,90523,10000,5170,5000,15165,8981,0
450000,1,1,1,45,0,0,0,0,0,0,26773,700,46727,46367,46191,20019,700,46727,1400,924,400,16608,1
310000,1,1,2,44,1,0,0,0,0,0,-42,7281,0,0,0,0,7323,0,0,0,0,0,0
240000,1,1,2,47,2,2,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,1
230000,2,2,2,38,0,0,0,0,0,0,845,53006,50879,50660,51282,53162,53021,2280,2133,1138,3186,1179,0
